S,C,pHTris,ETris,weight,Volume,pH,E,T
29.3,0.1001,7,-5.1,105.11,2.5,3.554,197.3,29.9
,,,,,2.55,3.489,201.3,30
,,,,,2.6,3.435,204.5,30.1
,,,,,2.65,3.389,207.2,30.3
,,,,,2.7,3.344,209.9,30.3
,,,,,2.75,3.3,212.2,30.3
,,,,,2.8,3.268,214.3,30.3
,,,,,2.85,3.236,216.3,30.3
,,,,,2.9,3.2,218.1,30.3
,,,,,2.95,3.175,219.8,30.3
,,,,,3,3.148,221.4,30.3
,,,,,3.05,3.122,222.9,30.3
,,,,,3.1,3.098,224.3,30.3
,,,,,3.15,3.076,225.6,30.3
,,,,,3.2,3.054,226.9,30.3
,,,,,3.25,3.033,228.2,30.3
,,,,,3.3,3.013,229.3,30.3
,,,,,3.35,2.994,230.4,30.3
