S,C,pHTris,ETris,weight,Volume,pH,E,T
29.6,0.1001,6.997,-4.9,97.75,2.4,3.551,202.8,30.4
,,,,,2.45,3.501,205.9,30.4
,,,,,2.5,3.455,208.6,30.4
,,,,,2.55,3.412,211.2,30.4
,,,,,2.6,3.375,213.5,30.4
,,,,,2.65,3.341,215.6,30.4
,,,,,2.7,3.308,217.5,30.4
,,,,,2.75,3.279,219.2,30.4
,,,,,2.8,3.251,220.9,30.4
,,,,,2.85,3.225,222.5,30.4
,,,,,2.9,3.2,224,30.4
,,,,,2.95,3.177,225.4,30.4
,,,,,3,3.155,226.7,30.4
,,,,,3.05,3.133,228,30.4
,,,,,3.1,3.114,229.2,30.4
,,,,,3.15,3.095,230.3,30.4
,,,,,3.2,3.077,231.4,30.4
,,,,,3.25,3.059,232.5,30.4
,,,,,3.3,3.042,233.5,30.4
,,,,,3.35,3.026,234.5,30.4
,,,,,3.4,3.011,235.4,30.4
,,,,,3.45,2.996,236.4,30.4
